Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,1028.6114252963,854.3009452511,904.2691551558,565.0980625673,1053.3016426926,1276.9110831256,1334.9116476746,1234.6551915859,1452.4310077463,1752.3952775472,1910.9620524694,1826.4965699771,1881.1636491195,2091.6272744933,2100.6025207732,2206.3957620001,2802.2247941316,2924.8201669571,3093.9782453687,3945.8151254683,5172.3369070403,5280.5881559423,5671.309117307,8652.2370400025,9326.2871440363,10405.4132375101,9724.3799719233,10412.7140028964
Libya,. .,. .,. .,. .,. .,. .,. .,. .,. .,1251.9908172875,1443.6217582671,1153.4870884908,1085.5346648705,819.7479936007,452.5136147575,541.4017665166,685.073220074,690.9307693484,614.3562962004,639.1370461889,1100.0686521299,. .,. .,. .,2987.4134077327,. .,3288.8242690978,. .
Morocco,917.2691447957,990.555090202,1069.7204919962,1148.4457104134,1228.5265528756,1251.7865381327,1365.2500187445,1437.8987007391,1447.1286892431,1400.9495009505,1444.9597164639,1207.5166098556,859.1514832104,1470.3176147925,1474.8743262617,1819.23007025,1937.5238215521,2031.1313805625,2134.5948760628,2408.3502495627,2944.958472736,3055.0694418587,3160.8048320336,3342.6989556075,3402.7008358406,4065.5523169353,4048.61092937,3268.246403025
Tunisia,232.9203407771,234.062029598,247.8558815392,260.4310306601,289.6771151687,276.1671349154,297.0688547279,342.9024583664,397.4695091883,358.1665777505,365.8493747365,357.0133953786,332.3897627455,335.6479068054,345.4242366694,407.3855610574,444.6514167342,468.4645799773,497.212663972,490.6505587813,578.911487331,564.7759337021,571.1890456895,715.2395970961,681.2259506111,759.3588812428,921.7873804251,979.5065393855
Angola,1469.3829801457,1948.5593956815,1751.1531519487,1031.2477880443,794.1388211617,1774.3978768274,. .,233.8437148893,159.7419334682,456.7804750262,170.2782925687,1066.5887892329,583.6213335989,404.2991399907,438.6862454112,670.0211644325,817.5335821521,1365.0553986904,1970.3091151838,2032.4328834343,3163.591147409,3311.1932452772,3500.7948364465,3639.4963735446,4144.6348514686,6090.7517020088,6841.8644843186,3601.0504269695
Benin,36.931589267,28.5259303842,32.8172919766,. .,. .,. .,. .,. .,. .,. .,. .,17.8431343887,14.4962751553,13.1125356223,26.0004476404,34.5440467997,41.7804783403,44.7060295601,46.7861309262,. .,64.7246011099,. .,. .,. .,78.2230910412,86.0031576391,92.9907061881,90.8882714586
Botswana,93.7470947561,102.7984157944,156.2508398415,172.2691881517,177.9860456077,185.6714828709,170.4337623154,165.8739778011,140.5601347693,160.5076751142,181.0510473558,169.578756163,184.7183946121,210.3220935568,223.5492588261,301.0143577788,314.0388971401,283.8357451055,272.9342747538,306.4514027126,332.4002542897,330.1472787395,348.6727252923,369.7954444418,333.4365820814,298.4613479606,378.7845028119,402.4029308836
Burkina Faso,57.1868872714,66.8165061691,84.4655023598,69.5055422233,71.1166185604,60.5269756289,30.259093488,36.8628142355,37.1418741399,38.5492462337,39.494738555,41.741175477,36.6585390519,36.832965231,42.468449959,50.7570543703,65.684242407,73.8433421554,72.6328673335,107.8167284624,116.9995868738,127.3332966246,123.7004746839,138.8508602018,147.7277401587,159.5336410007,204.1726080317,. .
Burundi,34.2554934293,37.9032817158,39.6023473767,42.7517588272,38.986476431,36.2674025867,41.9097450349,42.1089298798,50.8939807826,61.8701238254,58.7360362332,50.5711882632,42.3215522158,53.2303731064,44.9100670535,43.4132013079,44.872377146,49.5571293848,44.7175020415,46.3087062216,43.8563199487,. .,. .,. .,58.9666622762,60.8595000932,62.1772947391,66.3538472308
Cameroon,154.3706857189,146.8693575083,180.577745946,178.1983431818,183.7966391126,168.1752206326,94.5173404418,113.5755327077,116.9363036407,118.7111188019,137.2459115318,144.7046365188,123.0343438543,124.3017083675,145.6266105012,188.4996558844,221.1079246997,223.084623143,256.9278433323,296.698917305,346.5861256574,343.2651539859,354.054397842,347.4778856709,354.4474631116,392.8406606752,401.5290798216,353.7852916314
Cape Verde,5.0785721719,. .,. .,. .,3.5579026605,2.735413408,3.4313988873,6.2066300341,4.261939788,4.0997373807,4.5131548786,5.004734208,6.8010727982,4.6385561723,4.5208589376,5.7828316428,6.4521504916,7.0824165476,6.9851548395,7.9436595943,10.758715968,8.4029272926,8.2393692919,9.7575365624,9.7363858387,9.8156672595,10.0493322103,8.9230686388
Central African Rep.,. .,. .,. .,21.5981879216,23.1854381696,19.1444503696,10.6897452292,13.0141761562,12.1962185662,. .,. .,. .,. .,. .,10.6819629606,15.0189263593,15.1035899183,15.3961946507,. .,19.1125197437,31.5114837932,35.992384357,51.585274503,. .,. .,. .,. .,. .
Chad,77.8920791813,56.4249172435,34.3415422474,. .,35.3240747737,39.200036728,22.1539791609,20.0341381714,24.8264106093,16.6190083763,16.1030049902,20.9517962511,21.3490342371,26.192330831,34.290403852,40.9497591191,50.5409012181,55.4915179689,222.9914513569,389.1359096287,611.42684874,738.9037370867,615.8170074524,609.706993087,. .,726.4593960003,392.382917185,220.9636517329
Congo,. .,. .,. .,. .,125.6176990616,109.4775800511,. .,. .,. .,. .,. .,. .,. .,54.445943531,70.704230202,93.7766689608,124.2984373965,100.9160745296,126.5696417985,168.0795882045,207.7243443016,. .,218.3909206363,. .,. .,367.0573232937,704.8936622069,. .
"Congo, Dem. Rep.",214.9399291019,67.4947490973,45.9338135505,43.8919872097,85.5272943626,469.1738054899,. .,. .,89.2698799838,83.8250409228,26.6296671914,149.2778602678,132.8838217039,. .,. .,78.7080318799,137.6378055252,165.2050608979,205.1020865766,205.2172230285,159.998426585,122.3780109807,183.6820975083,238.7875465883,332.4939793749,374.4755613491,341.2247386044,491.2760222566
Côte d’Ivoire,128.1022534984,129.676998696,143.9737020917,144.1687019464,156.7973342602,148.6352383609,84.0716492107,. .,102.6601401226,93.5256112625,. .,. .,. .,. .,. .,213.0075705437,250.8115884418,249.8729780764,267.3602478533,323.6191934767,368.9105749154,420.0590445291,387.692139954,357.3302590142,407.5965341232,430.0036434297,521.2604795566,465.100591716
Djibouti,31.0599197619,31.0880537472,31.1161877325,31.7745229883,33.6257392205,31.0655465589,30.7110583443,29.6082061208,24.5272083772,26.5528553182,26.7047788387,26.7790525599,26.0250617541,26.048131622,33.2509945364,41.7637758059,37.3557429904,44.8472605939,49.5158141131,34.5187119136,36.2748352755,. .,. .,. .,. .,. .,. .,. .
Equatorial Guinea,. .,. .,. .,. .,. .,. .,2.3793013391,3.4478751793,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,196.3143717385,292.7546588359,371.9275878573,. .,. .,. .,. .,166.5402546444,. .
Eritrea,xxx,xxx,xxx,xxx,xxx,107.7376492332,80.1983112104,124.9963498795,152.27180856,92.7563194082,263.0016856993,272.8567345752,230.6701298701,166.5502453689,150.7644252124,181.5836689989,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Ethiopia,614.8550724638,781.5217391304,785.0483091787,529.0338164251,255.3434433541,163.85,148.6916742909,122.460147475,126.4547332359,225.4171051102,458.5499254487,703.7048695269,617.5416136279,349.8082764508,288.9323334598,278.6731599315,311.0387489896,342.0666386659,345.6870170211,360.140308612,388.1875967474,339.6277679663,303.6170330891,332.4417723916,366.5390176675,345.064165844,393.7814613312,422.9276915692
Gabon,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,91.2952121982,90.0361372314,94.693165449,108.3964211975,125.1218565736,118.1114304564,130.2377173019,. .,. .,. .,268.7385039079,265.965337617,278.1439571267,282.16338758,208.1247534966,170.360101437
Gambia,2.1614627587,2.7229883511,3.4649111117,3.9962716732,3.5016878923,2.5563886676,2.316899696,2.8865517075,3.9297062315,4.1763886983,4.0495720232,3.5190564365,3.3235321718,2.4542302004,2.2592856641,1.9978619372,1.9313954998,2.9850850732,2.7863192438,4.5470261404,17.1635334619,7.0952995751,. .,. .,11.1730798607,10.3788906935,14.5999568687,12.4876630937
Ghana,22.7604246503,22.6269663338,27.612553502,41.4271841755,41.6639960444,41.0043285772,37.8232508303,49.0543222643,44.4178126166,45.4833102209,57.4530856614,59.2777609013,50.8826082409,32.3521404988,36.9754813438,53.244020287,56.3538429897,64.1965663995,75.7326079271,126.0777889929,113.668160248,118.2907438955,122.480468477,234.327479578,337.2609727033,254.9970573936,178.2503356784,179.9819947702
Guinea,. .,. .,. .,71.7641783996,55.6540402949,43.9565039927,45.8717475088,. .,. .,44.3701898058,45.0344833162,55.2111863918,45.9679312141,87.7183988188,98.0848651713,84.133949308,81.018570098,. .,. .,. .,. .,. .,. .,. .,168.9133574679,192.533744072,254.7718031628,. .
Guinea-Bissau,. .,4.4347251548,. .,. .,. .,. .,2.0167287651,2.2119199105,1.8977436567,1.8178111224,2.9002359514,. .,9.5313606077,6.1831635152,6.3630937692,7.5051617343,. .,12.1163748322,. .,. .,. .,13.7445837022,17.129808168,17.5198043512,24.4917506812,21.7107926484,21.4708291617,18.6022688081
Kenya,250.9424074919,228.6061489853,246.4564386335,191.9085062836,156.0366020213,105.7045273123,117.3314826246,149.0964382518,170.8048162564,175.8348969383,171.9640132722,151.9177774428,165.5847352495,195.3650054988,213.8945080007,245.9386638151,259.8078407152,316.7994854019,375.8072032488,494.6848966689,580.0119406782,578.0716723549,622.0498477911,646.6781067168,840.0725899567,860.5608961147,819.0441527718,954.4224497591
Lesotho,16.9564586293,22.6104595299,24.1659323161,22.3081714542,24.2372922956,22.1406843874,25.8533288273,34.3732854713,28.347308314,28.7003359404,27.807021352,34.0781866869,30.555503521,23.3907294307,19.5598964016,27.3637595426,31.3869551016,33.6198939196,35.2245793061,39.8346715644,27.3506818605,47.3997689313,70.6610373681,58.1693207531,53.2401458227,47.9411831723,47.6932007703,43.1250138446
Liberia,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,3.182,8.025,3.925,3.486,3.907,7.193,8.458,13.271,15.179,15.1115,14.3845,13.5195
Madagascar,32.9044385458,30.2474679439,37.948124178,34.7070874379,23.1026333649,37.8307908151,27.5809456743,27.1706641223,49.4429055094,52.544736687,50.4465762488,45.0364429167,47.210934614,65.037565455,57.743396834,72.5170188883,54.4717100264,54.0181624838,53.9140176446,81.9369436677,103.2715395377,70.9852214231,56.9228928922,71.9898080114,68.6360178043,71.8778744942,69.6767033431,61.0389035513
Malawi,20.1674930699,22.7811358497,24.3121720266,23.7041211996,25.2381163829,25.728062724,17.0608030768,11.047717503,20.1522030245,26.4074871383,14.4741203693,14.4029794888,11.7275014359,12.6819146976,14.815169795,13.1188258538,21.9657385811,38.2135618983,31.0905495023,33.5996055931,44.4642514037,58.7973818244,49.9842179059,52.8048429863,49.5340337045,68.59774922,53.9122692451,41.8765110115
Mali,48.0110660471,46.0803490822,52.1550695095,. .,. .,44.4973389885,29.8988661846,40.4689591063,39.6831602652,40.2625460663,41.0202863962,43.8525968046,43.6812476825,44.881650226,49.355225628,66.7584308328,77.4203318285,86.4507420355,96.0048958672,110.3768880394,142.9193510568,144.4346083958,146.7865457108,161.0626745729,148.8657798706,153.8336976763,218.1183823306,309.1445477599
Mauritania,42.9838641099,38.8797245066,40.1816174373,39.4407034894,39.3786741555,30.1557869642,29.4881650819,31.9878552494,37.887510749,41.5994415652,25.6106878329,31.9596781122,37.8783122596,51.8524893498,36.2811374149,62.449150287,. .,66.6596366485,81.9061801936,. .,123.3233838365,114.8243293719,. .,. .,142.2999123458,144.2154834676,150.32139735,135.3704129615
Mauritius,4.6883023136,6.327951842,9.1835704915,10.4968598864,11.4275984373,10.777425204,11.8538562616,13.4473694806,12.9735180883,9.801826445,8.4567389248,9.0408087097,9.3601426307,8.9772153811,9.5020359122,10.8829274412,10.9351419168,10.8861480462,10.8142714322,11.6322887426,15.5801889445,15.3161158706,14.8744169125,17.5120183934,16.6622296173,23.2008963761,32.8717915224,. .
Mozambique,63.8527003974,79.0691055928,84.5989996653,71.8035232525,59.6054121714,59.3664822004,72.8646919231,33.4650882669,36.0377909808,42.0146228213,49.2648173412,56.5161916541,55.3614584428,50.6192159818,53.5095869584,59.7713425531,77.6306058553,62.2479510862,57.4391357753,68.6253642566,83.7094557336,84.3028094032,99.189931714,118.8711830354,139.100553343,157.8921143632,173.7521808329,148.4000364976
Namibia,xxx,xxx,. .,144.7677197862,124.5612743293,70.155520329,56.958995156,68.2365201856,66.4635351856,83.6595803783,78.9124284588,105.7659571682,92.3977964878,96.7571824494,87.9922585787,129.4490895271,166.9971778831,192.0721208052,199.5591851201,228.17467358,266.2500211833,299.5160302443,396.5391014066,443.5914244753,412.1635036425,389.9587366624,545.9540022299,554.425273409
Niger,. .,. .,. .,. .,. .,. .,17.4710242163,18.4314071177,17.3980357813,17.3043283094,22.0356910393,23.5504686543,20.0849466836,24.8281469335,20.6603270071,24.6042670337,31.6117247319,32.7981981845,. .,. .,53.6304864841,53.000300729,66.8898414423,83.947561384,69.7965043964,. .,. .,. .
Nigeria,271.1060465465,170.7055112679,277.2977834838,243.705781024,173.6576793229,289.2311039002,319.6944899073,639.4066306468,701.4128785802,818.784525338,1149.6847299644,491.67136859,368.6441094624,570.6322877615,896.9132014132,587.4618872947,639.9900668232,674.2081447964,776.1480583279,971.3213786087,1615.5332107368,1504.4861721132,1990.0996686583,2384.9360217138,2316.4781998616,2418.7601708706,2357.6658909008,2070.934859006
Rwanda,36.6263471628,41.6224781345,95.1327354335,105.3338020517,88.5701700028,89.4361363589,40.5105753923,56.4493367203,73.6588227625,77.2725765264,87.0918370614,80.8523635841,61.3298571194,56.8859031314,51.1186141176,45.1962689829,41.2157610456,44.9963518894,54.5576480397,55.5804408041,67.660359624,75.2784860541,74.5144172865,75.3839285566,79.7939100921,82.4807155803,90.9362891612,92.894588318
Senegal,105.288603583,99.6025178052,118.21570896,110.0149943107,109.7728680882,119.9379862482,66.1467385921,80.9158806606,79.774881146,70.8004022828,75.0908548492,78.2850061475,62.36165264,68.891286821,74.3613950312,96.8565037853,107.5536878768,124.4037552989,148.5551454417,192.8079755126,216.8702895233,214.824242989,195.7328929064,230.1903506504,196.6614890104,236.7379159582,239.893611642,214.809805579
Seychelles,12.1480727473,13.0364240522,14.8400756994,16.5617065364,20.4998848102,12.949843,11.8871962436,11.5918411918,10.5433019851,11.3983534739,10.5423787435,11.0901474568,10.3258415561,11.0653960536,11.6999359493,12.2391088596,15.9272727273,14.7272727273,14.3663865181,15.1767033872,11.1248101983,8.6512024335,7.1575597872,8.7127049511,9.924109749,13.766451324,34.4394759551,18.1505224766
Sierra Leone,9.0114750216,14.3949121258,12.3872535425,23.1797497156,26.661754518,23.339131109,26.4955516924,25.023304591,18.5928152818,9.490749703,. .,. .,23.3108043516,29.9111346072,27.1339618776,28.4679335929,22.9615370377,23.552130233,28.0224584812,29.0768761787,23.6457365563,26.4055646626,25.0622786312,25.4761839068,29.7589340798,31.6849394114,49.9138819573,42.2224594824
Somalia,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
South Africa,4263.0868232262,4181.8864672778,4364.4582038557,3874.4151347906,3677.4064607067,3254.3133786654,3478.5822913146,3292.4465618443,2591.7871306128,2414.1377095287,1905.6560087405,1738.0366250483,1891.7250134369,1802.262236357,1766.0828977203,2574.1762781321,3099.0651254162,3566.9638153705,3506.1396578331,3525.6842436948,3285.9250812834,3592.6877020229,4188.1680922032,4594.1540779466,4489.5900959443,4118.2084834273,3893.478120652,3460.4796990124
South Sudan,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,551.4545044278,587.9668667229,896.3907069315,609.8986326487,650.9106678231,1052.7219703686,988.2259887006,981.9830508475,1298.2881355932,1365.7288135593
Sudan,369.3333333333,. .,1177.7777777778,1365.7981149111,183.7184407128,257.9810939403,226.1670044785,138.756425662,106.3327976719,97.7318593169,259.9575701437,429.6178974461,587.2675723292,388.0913174231,484.6072630324,398.1102217386,1240.7669490704,1164.9959360607,1537.1650403172,. .,. .,. .,. .,. .,. .,. .,. .,. .
Swaziland,8.7201502549,8.7315265301,14.223211663,16.0068373097,20.976434164,23.7243477143,25.8040441591,28.7696197227,26.4865619222,25.6621151225,25.7313305404,25.8532641076,24.4710605303,19.6650552085,18.338440521,31.9276909349,42.6955473095,59.4716739028,58.520575053,61.8775167237,66.6578301994,75.9116179884,102.0321749654,106.6294089212,90.6397952733,86.0403767558,81.3553309315,73.5317390499
Tanzania,124.8336977463,105.3167523382,87.1544582069,108.1416518751,96.907036425,58.7257016241,58.375569775,85.5136560872,101.0384894573,118.6038077377,134.276958074,128.4979436301,135.0559526442,150.7281963278,140.7535617738,125.2547138923,127.5678628148,139.4935912767,147.4179247544,166.2155432757,194.0003009253,219.4768652816,282.72509881,307.4739841742,359.739418825,443.379945515,496.2406287787,516.6074547797
Togo,43.089092423,41.8610191594,50.7483517896,45.9045681249,49.1136868511,50.1477947331,25.3960248917,30.852572784,. .,. .,. .,. .,. .,. .,. .,28.831211287,31.7196210379,33.2380352931,. .,. .,57.0091892677,55.1308170933,56.8328430353,59.0188740024,62.93104968,72.4192373087,83.0800036407,69.9712595097
Uganda,140.904123012,139.8212396679,107.0062142216,73.5615999782,52.331345969,62.6366504326,104.1278479139,127.0026225157,135.3935645457,139.6159776918,154.7125315445,159.7045702934,141.3030258805,136.1573425378,142.1915941142,152.3799217811,196.0158537259,216.6670410576,218.5339485107,252.1192464128,311.8562693265,293.5276706608,608.6858685869,607.1350708552,351.8382470374,300.0755733719,325.6628419988,287.9563273753
Zambia,86.7406563255,167.5872503384,139.3240472645,86.247306222,97.7562799772,51.128294494,62.869469995,55.265536344,37.835913569,43.3624952453,. .,56.1134328858,. .,. .,. .,. .,98.3494040445,139.5093536462,205.8522315692,232.2786644414,278.0551358105,220.9622858003,280.1877785514,309.1137641519,346.30142309,381.3458020827,443.604396033,372.1892428632
Zimbabwe,407.05,408.6,416.3,376.05,296.35,249.8,247.9,262.9,291.65,311.4,306,263.4,346.3,286.7,677,194.8,256.1,131.4,161.7,. .,. .,. .,98.293,198.438,318.272,356.7,368.1,376.677
Belize,. .,4.355375,4.76875,4.732875,5.292125,6.130375,7.899375,8.052875,7.965875,9.395,. .,. .,7.116125,7.4546625,7.8299375,8.552225,9.48615,10.7109625,12.2830375,13.759075,18.7177375,17.2675375,15.33725,15.41625,15.219125,17.778875,17.76025,19.632125
Costa Rica,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Cuba,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,78.5571428571,76.5874439462,83.3656387665,89.0572687225,92.4625550661,94.2775330396,93.7444933921,126.872246696,119.3832599119,125.6387665198,. .
Dominican Rep.,47.2963687644,53.5173501577,47.7989044374,33.8942989506,63.1272408448,95.9939412108,100.9566796605,84.4499683763,107.0012922335,150.6641898286,159.0530963017,175.0004677823,246.8108437405,305.9003279926,271.663317177,155.8024955645,152.8784668447,272.2004811443,259.2403251368,274.7756807627,333.5388816071,320.8552892084,354.8567813738,348.5598300882,396.1871785681,383.3802540656,437.5720911011,443.2008996172
El Salvador,178.9633451957,213.0296797153,163.8866903915,145.1271886121,134.1937366548,116.4700355872,109.334519573,111.6362989324,110.8306761566,112.2117437722,110.8306761566,114.7437010676,110.3703202847,150.6514590747,161.7,126.6,128,132.9,142.1,165.6,173,189.9,201,220.7,224.3,237.5,233.8,223.148
Guatemala,124.7986318417,129.0889592773,112.5450313882,101.5753010611,130.8970086817,122.9735101218,140.1794408124,145.068963262,129.5146218454,132.1128325697,139.8043677136,123.7541651942,157.848092787,196.76557754,158.3681192587,178.7717939515,114.8933492733,104.4676798613,130.5469291548,135.9258728318,166.494048304,147.4105440627,169.7988401257,197.4331506842,224.3665436497,249.7578533782,245.6729817918,274.4410765132
Haiti,1.9724,2.23155,2.6704,2.6232273867,1.7436059365,1.6496393059,1.5999667553,2.4788711887,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Honduras,132,138,67.1209490319,47.3980894056,. .,40.5928691293,. .,. .,. .,. .,. .,. .,52.4623968947,62.9519765796,63.6021760561,82.1951767914,60.5617866441,62.5892748098,75.5959185402,95.9243401728,132.428400639,156.8025572768,170.1869796931,200.3584058867,212.3412743178,284.8077280509,327.9432624113,323.7591041942
Jamaica,30.9325778211,40.9338096034,38.6099445576,31.8919766588,47.1923276264,44.5425795435,34.2185039549,35.2988296089,41.7912639145,54.8546088774,47.6402188782,45.1310717533,43.5662324913,46.3743822873,56.8981470963,54.845871817,54.5331322348,59.3297763191,72.6455230067,83.5119420975,130.6991706549,114.8083318448,115.5713959684,133.6385598277,137.6355056681,128.4313230115,121.3099585343,118.2914429929
Mexico,981.9146455737,1153.3758282652,1327.241698073,1599.5070284883,2000.0646224434,2327.3056406109,2888.8158050677,1712.9246677665,2063.9651553731,2394.1523983199,2480.9436035744,2908.1419187482,3323.1241724446,3540.2265385332,3479.5090286207,3245.3424784503,3129.0093921673,3621.5234127676,4082.5014679977,4779.8356545451,4939.6659388843,4855.5148555149,5897.1984805318,6471.3884394646,6978.7767189339,7837.613529596,8663.3816061689,7737.5649493261
